jpword_id	hiragana	kanji	chinese	wordset_id
1	ちゅうごくじん	中国人	中国人	1
2	にほんじん	日本人	日本人	1
3	かんこくじん	韓国人	韩国人	1
4	アメリカじん	～人	美国人	1
5	フランスじん	～人	法国人	1
6	がくせい	学生	（大）学生	1
7	せんせい	先生	老师	1
8	りゅうがくせい	留学生	留学生	1
9	きょうじゅ	教授	教授	1
10	しゃいん	社員	职员	1
11	かいしゃいん	会社員	公司职员	1
12	てんいん	店員	店员	1
13	けんしゅうせい	研修生	进修生	1
14	きぎょう	企業	企业	1
15	だいがく	大学	大学	1
16	ちち	父	（我）父亲	1
17	かちょう	課長	科长	1
18	しゃちょう	社長	总经理，社长	1
19	でむかえ	出迎え	迎接	1
20	あのひと	あの人	那个人	1
21	をたし		我	1
22	あなた		你	1
23	どうも		非常，很	1
24	はい		哎，是（应答）；是的	1
25	いいえ		不，不是	1
26	あっ		哎，哎呀	1
27	り	李	李	1
28	おう	王	王	1
29	ちょう	張	张	1
30	もり	森	森	1
31	はやし	林	林	1
32	おの	小野	小野	1
33	よしだ	吉田	吉田	1
34	たなか	田中	田中	1
35	なかむら	中村	中村	1
36	たろう	太郎	太郎	1
37	キム	金	金	1
38	デュポン		迪蓬	1
39	スミス		史密斯	1
40	ジョンソン		约翰逊	1
41	ちゅうごく	中国	中国	1
42	とうきょうだいがく	東京大学	东京大学	1
43	ペキンだいがく	北京大学	北京大学	1
44	ジェーシーきかく	ＪＣ企画	JC策划公司	1
45	にっちゅうしょうじ	日中商事	日中商社	1
46	ほん	本	书	1
47	かばん		包，公文包	1
48	ノント		笔记本，本子	1
49	えんぴつ	鉛筆	铅笔	1
50	かさ	傘	伞	1
51	くつ	靴	鞋	1
52	しんぶん	新聞	报纸	1
53	ざっし	雑誌	杂志	1
54	じしょ	辞書	词典	1
55	カメラ		照相机	1
56	テレビ		电视机	1
57	パソコン		个人电脑	1
58	ラジオ		收音机	1
59	でんわ	電話	电话	1
60	つくえ	机	桌子，书桌	1
61	いす		椅子	1
62	かぎ		钥匙，锁	1
63	とけい	時計	钟，表	1
64	てちょう	手帳	记事本	1
65	しゃしん	写真	照片	1
66	くるま	車	车	1
67	じてんしゃ	自転車	自行车	1
68	おみやげ	お土産	礼物	1
69	めいさんひん	名産品	特产，名产	1
70	シルク		丝绸	1
71	ハンカチ		手绢	1
